20180410 13:33:51.4582 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.ImageAndTextTeaser.DefaultContent, Version: 1.0.1, Id = 0507ebc3-f3c8-426b-9d63-2a860175e835
20180410 13:33:51.4773 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.5094 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.TeaserCards.DefaultContent, Version: 1.0.1, Id = db8c9972-d880-46ab-aebe-1bfa6c3a65d3
20180410 13:33:51.5384 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.5977 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Lists.Profiles.DefaultContent, Version: 2.0.0, Id = 6e5ca364-0d37-43b6-8549-d17a054d3e4a
20180410 13:33:51.6907 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.7414 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Community.Blog.DefaultContent, Version: 2.0.3, Id = abb7a0a1-8566-4dce-bcc6-d45894b64255
20180410 13:33:51.7946 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.8216 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.LinkButton.DefaultContent, Version: 1.0.1, Id = 86dd94cb-086d-41d9-9b8b-650db7e9e6b6
20180410 13:33:51.8437 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.8703 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Media.ImageGallery.Slimbox2.DefaultContent, Version: 2.0.1, Id = 3237ff22-6caf-4557-8525-1d6822e3529b
20180410 13:33:51.8933 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:51.9513 2  8 Information SetupServiceFacade RGB(255, 55, 85) Done setting up the system for the first time! Enjoy!
20180410 13:34:15.0620 4  8 Information Orckestra.Search  Indexing document source 'Composite.Data.Types.IPage' for culture 'en-US'
20180410 13:34:21.2848 4  8 Information Orckestra.Search  34 documents; Completed in 6217 ms
20180410 13:34:21.2869 4  8 Information Orckestra.Search  Indexing document source 'Composite.Data.Types.IMediaFile' for culture 'en-US'
20180410 13:34:21.3714 4  8 Information Orckestra.Search  49 documents; Completed in 84 ms
20180410 13:34:21.3734 4  8 Information Orckestra.Search  Indexing document source 'Composite.Community.Blog.Entries' for culture 'en-US'
20180410 13:34:21.5556 4  8 Information Orckestra.Search  4 documents; Completed in 181 ms
20180410 13:34:21.5566 4  8 Information Orckestra.Search  Indexing document source 'Composite.Lists.Profiles.Profile' for culture 'en-US'
20180410 13:34:21.6470 4  8 Information Orckestra.Search  6 documents; Completed in 90 ms
20180410 15:44:47.4159 4  5 Information PackageManagerInstallProcess  Installing package: Composite.Versioning.ContentVersioning, Version: 2.6.6, Id = ca49c9e6-a0db-4c77-b4eb-eca60126be4c
20180410 15:44:49.2915 4  5 Information PackageManagerInstallProcess  Package successfully installed
20180410 16:01:19.2715 2 17 Information ConsoleMessageServiceFacade  Console 'key7377226785068903' has a last known change numer of 5, but server current number is 1.
20180410 16:01:19.3006 2 17 Information ConsoleMessageServiceFacade  Console 'key8077089578827679' has a last known change numer of 5, but server current number is 1.
20180410 16:12:06.5932 2 16 Warning ConsoleFacade  The console 'key8077089578827679' owned by the user 'admin' timed out, closing it
20180410 18:05:46.1073 8 40 Information ConsoleMessageServiceFacade  Console 'key8077089578827679' has a last known change numer of 18, but server current number is 1.
20180410 18:05:46.4200 8 31 Information ConsoleMessageServiceFacade  Console 'key7377226785068903' has a last known change numer of 18, but server current number is 1.
